,Status,AFP,APOBEC3A,ART3,CCL7,CXCL10,CXCL9,DNAH7,GRID2,HTR3A,KRT78,LAMP3,MYLK2,PGBD5,POTEKP,RAET1L,SLC28A2,SOX11,SPHK1,TH,TMEM171,TNRC18P1,TREM1,TTC6,UGT2B15,VRTN
Sample1122,0,2,2.807354922,3.700439718,2,9.63481105,10.04984855,5.357552005,3.459431619,2.807354922,2.807354922,6.491853096,4,5.044394119,9.312882955,3.169925001,4.169925001,5.129283017,8.388017285,2.807354922,3.321928095,4,5.321928095,6.108524457,1,1
Sample1123,0,2.321928095,3.169925001,3.700439718,8.447083226,10.80654962,9.717676423,5.321928095,3,2.807354922,2.584962501,7.77478706,3.321928095,5.087462841,7.693486957,3.584962501,3.700439718,4.584962501,7.321928095,3,3.700439718,4.523561956,5,4.584962501,1,1
Sample1124,0,4.584962501,4.459431619,4.459431619,4.584962501,5.977279923,9.177419538,5.523561956,4.321928095,4.087462841,4.754887502,6.339850003,4.459431619,6.22881869,7.118941073,4.95419631,4.906890596,4.906890596,8.233619677,5.247927513,5.614709844,5.781359714,5.700439718,9.857980995,4.700439718,2.321928095
Sample1125,0,4,5.285402219,4.523561956,4.700439718,7.965784285,8.668884984,5.977279923,5.044394119,4.321928095,4.857980995,6.475733431,3.700439718,5.426264755,8.82336724,5.044394119,4.857980995,5,8.022367813,5.044394119,4.700439718,5.781359714,5.523561956,5.832890014,4.807354922,4.700439718
Sample1126,0,6.303780748,5.129283017,4.584962501,3.584962501,9.221587121,8.930737338,6.14974712,3.459431619,3.700439718,3.807354922,5.523561956,4.321928095,5.169925001,8.321928095,4.321928095,4.523561956,5.727920455,8.326429487,3.700439718,4.700439718,5.044394119,6.129283017,4.857980995,3.321928095,3.169925001
Sample1127,0,3.169925001,7.459431619,3.459431619,2,9.415741768,10.13314221,5.169925001,2.321928095,3,2.584962501,6.882643049,4,4.392317423,8.214319121,3.321928095,3.321928095,9.766528909,7.686500527,2.584962501,3.459431619,4.247927513,4.392317423,4.087462841,3,1
Sample1128,0,3.807354922,4.857980995,5.247927513,4.807354922,7.483815777,6.50779464,5.857980995,5,5,4.321928095,5.459431619,5.614709844,5.882643049,9.292321633,5.523561956,5.64385619,5.700439718,7.787902559,4.247927513,5.087462841,5.426264755,6,6.906890596,4.700439718,5.129283017
Sample1129,0,3.807354922,5.754887502,4.087462841,3.459431619,8.076815597,8.906890596,6.169925001,4.807354922,4.807354922,5.321928095,7.06608919,4.754887502,6.247927513,8.071462363,4.169925001,4.95419631,5.209453366,7.554588852,3.906890596,5.614709844,6.584962501,5.781359714,6.426264755,3.169925001,2.584962501
Sample1130,0,6.189824559,5.209453366,3.700439718,1,11.49934763,11.24792751,5.357552005,1.584962501,1.584962501,1,6.339850003,1.584962501,4.523561956,2.321928095,2.321928095,2.807354922,4.321928095,7.451211112,1.584962501,2,3.459431619,3.700439718,4.392317423,1,1
Sample1131,0,4.169925001,5,4.321928095,5.129283017,7.459431619,7.864186145,6.475733431,5.247927513,4.169925001,4.584962501,6.247927513,5.087462841,5.321928095,9.21916852,5.357552005,4.754887502,5.392317423,6.794415866,4.95419631,5.285402219,5.727920455,5.614709844,8.13442632,4.459431619,4.906890596
Sample1132,0,3.321928095,5.584962501,4.321928095,3.700439718,6.50779464,6.930737338,6.129283017,4.392317423,3.700439718,4.247927513,5.209453366,4.64385619,5.459431619,11.16364968,4.857980995,4.857980995,5.087462841,7.651051691,3.584962501,4.95419631,5.285402219,4.700439718,6.539158811,7.483815777,4.392317423
Sample1133,0,4,5.727920455,4.906890596,5.700439718,8.321928095,6.169925001,6.087462841,4.754887502,4.95419631,4.584962501,5.754887502,6.022367813,6.266786541,7.238404739,5.459431619,5.129283017,5.285402219,7.199672345,4.906890596,5.044394119,6.285402219,6.266786541,8.479780264,5.129283017,5.247927513
Sample1134,0,3.807354922,5.357552005,4.857980995,3.906890596,8.672425342,7.851749041,6.50779464,5.523561956,4.247927513,4.906890596,6.209453366,4.700439718,5.807354922,6.87036472,5.357552005,5.285402219,5.491853096,6.339850003,5.584962501,5.700439718,5.285402219,5.807354922,7.562242424,5.247927513,4.807354922
Sample1135,0,2.807354922,4.700439718,4.523561956,3,8.417852515,8.675957033,5.614709844,3.459431619,3.584962501,3.321928095,5.754887502,3.807354922,5.426264755,10.94982671,3.906890596,4.321928095,4.087462841,7.129283017,3.459431619,3.700439718,4.584962501,4.459431619,7.189824559,2,1.584962501
Sample1136,0,3.584962501,5.044394119,4.392317423,4.64385619,7.434628228,5.700439718,6.022367813,5,5.491853096,4.459431619,4.523561956,4.754887502,5.285402219,9.97441459,5,5.523561956,5.285402219,7.73470962,4.087462841,5.426264755,5.727920455,6.50779464,6.741466986,4.459431619,4
Sample1137,0,2.807354922,5.169925001,4.807354922,3.906890596,7.076815597,6.614709844,6.339850003,4.754887502,4.857980995,4,4.321928095,5.781359714,5.906890596,10.05120894,4.857980995,4.857980995,6.266786541,8.820178962,4.584962501,5.700439718,5.247927513,6.169925001,5.247927513,4.523561956,2.584962501
Sample1138,0,4,4.392317423,4.700439718,3.584962501,8.611024797,6.247927513,6.169925001,4.64385619,4.321928095,4.754887502,5,5.129283017,5.392317423,10.31288296,5,4.584962501,6.87036472,8.060695932,3.584962501,5.357552005,5.491853096,6.209453366,5.426264755,3,4.459431619
Sample1139,0,1.584962501,6.539158811,9.997179481,3.321928095,8.873444113,8.335390355,4.64385619,1.584962501,2,2.321928095,6.930737338,2.807354922,8.882643049,9.971543554,4.392317423,3.807354922,4.459431619,7.857980995,2.807354922,4.169925001,3.906890596,6.022367813,3.321928095,1,1
Sample1140,0,2.584962501,3.807354922,4.321928095,4.523561956,9.586839788,10.35314683,5.321928095,3.321928095,4.584962501,3.700439718,7.451211112,4,5.392317423,4.087462841,4.247927513,4.321928095,5.584962501,7.569855608,3,4.392317423,4.700439718,4.700439718,5.727920455,1.584962501,2.807354922
Sample1141,0,9.632995197,4.087462841,4.087462841,4.169925001,4.523561956,6.658211483,5.807354922,4.087462841,4.584962501,4.584962501,5.285402219,5.169925001,5.727920455,8.451211112,4.95419631,5.321928095,4.906890596,8.144658243,4.754887502,5,5.426264755,5.700439718,7.651051691,3.321928095,3.321928095
Sample1142,0,5.727920455,4.857980995,4.523561956,4.906890596,7.257387843,8.103287808,7,4.906890596,4.857980995,5.044394119,5.754887502,5.247927513,5.64385619,8.894817763,5.285402219,5,4.64385619,7.129283017,4.392317423,5.087462841,6.129283017,5.614709844,7.348728154,3.807354922,4.584962501
Sample1143,0,4.807354922,6.22881869,4.807354922,4.700439718,6.303780748,5.857980995,6.977279923,6.044394119,5.64385619,5.321928095,4.807354922,6.044394119,5.807354922,8.379378367,5.882643049,5.357552005,5.169925001,6.700439718,4.392317423,5.491853096,6.375039431,5.727920455,8.45532722,5.129283017,6.442943496
Sample1144,0,4.392317423,5.614709844,5,5.857980995,6.247927513,5.169925001,7.098032083,5.672425342,5.727920455,6.087462841,4.857980995,6.189824559,7.768184325,4.584962501,6.357552005,5.807354922,5.247927513,6.14974712,5.285402219,6.409390936,6.491853096,5.781359714,7.882643049,6.044394119,5.906890596
Sample1145,0,2,4.321928095,4.087462841,4.247927513,9.6794801,9.56414949,5.209453366,3.321928095,2.807354922,4.392317423,5.614709844,4.392317423,5.491853096,9.344295908,3,4.247927513,6.209453366,7.321928095,3.584962501,4.247927513,5.523561956,5.392317423,4.906890596,2,1.584962501
Sample1146,0,2,3.807354922,3.584962501,1.584962501,9.250298418,8.022367813,4.700439718,2,2,2.321928095,6.247927513,4.087462841,4.857980995,11.82416321,3.700439718,3.700439718,7.098032083,7.857980995,2.321928095,2.807354922,4.247927513,4.64385619,6.857980995,1,1
Sample1147,0,4.807354922,5.426264755,4.700439718,6,6.491853096,6.658211483,6.672425342,6,5.459431619,5.781359714,5.857980995,6.087462841,5.807354922,6.375039431,5.426264755,5.882643049,5.087462841,7.339850003,4.906890596,5.882643049,6.741466986,6.247927513,7.77478706,5.584962501,5.882643049
Sample1148,0,2.321928095,4.247927513,3.169925001,2.584962501,9.73809226,9.417852515,5.044394119,3.169925001,4,3.169925001,7.108524457,4.169925001,4.906890596,10.05663772,3.321928095,4.169925001,4.523561956,6.64385619,2.807354922,3.459431619,4.584962501,4.95419631,4.95419631,3,1.584962501
Sample1149,0,3.906890596,6.06608919,4.523561956,5.087462841,4.392317423,5.209453366,5.832890014,4.857980995,4.700439718,5.209453366,4.754887502,5.321928095,5.781359714,2,5.584962501,5.169925001,10.27146303,6.988684687,5,5.247927513,5.321928095,5.247927513,4.754887502,4.392317423,2.584962501
Sample1150,0,4.392317423,5,4.459431619,5.554588852,5.977279923,6.392317423,6.442943496,5.426264755,5.64385619,5.906890596,5.554588852,5.977279923,5.832890014,9.016808288,5.672425342,5.321928095,5.64385619,8.113742166,4.169925001,5.169925001,5.754887502,6.022367813,6.375039431,4.459431619,4.247927513
Sample1151,0,3.321928095,4.700439718,4.700439718,3.700439718,9.211888295,7.614709844,6.044394119,5.247927513,4.64385619,3.459431619,6.658211483,4.584962501,5.554588852,8.426264755,5.209453366,5.491853096,5.087462841,8.566054038,3.459431619,5.087462841,5.930737338,4.906890596,5.087462841,3.321928095,3.169925001
Sample1152,0,3.459431619,5.584962501,5.247927513,4.857980995,8.118941073,7.912889336,6.044394119,5.087462841,4.807354922,5.392317423,5.392317423,5.727920455,5.554588852,6.930737338,5.781359714,5.129283017,6.442943496,8.550746785,4.584962501,5.044394119,5.700439718,5.930737338,8.038918989,3.700439718,4.857980995
Sample1153,0,2,5.614709844,4.087462841,3.321928095,9.831307244,11.13185696,5.169925001,3,3.169925001,3,7.672425342,2.807354922,5.129283017,3.459431619,4.392317423,4.459431619,4.247927513,6.754887502,2.321928095,4.169925001,3.807354922,4.169925001,5.426264755,1,1.584962501
Sample1154,0,3.169925001,5.087462841,4.700439718,4.392317423,5.64385619,5.426264755,5.977279923,4.906890596,4.906890596,4.807354922,4.906890596,4.857980995,5.491853096,9.670656249,5,5.129283017,7.918863237,9.162391329,4.392317423,4.906890596,5.285402219,6.894817763,6.303780748,4.087462841,4.523561956
Sample1155,0,4.321928095,6.700439718,5.95419631,5.554588852,7.257387843,7.266786541,5.807354922,5.129283017,5.247927513,4.321928095,6,5.754887502,5.459431619,9.366322214,5,5.169925001,4.95419631,7.312882955,3.459431619,4.906890596,6.409390936,5.044394119,6.714245518,5.209453366,3.584962501
Sample1156,0,5.087462841,4.392317423,4.459431619,4.247927513,7.169925001,8.73470962,6.523561956,4.700439718,5.169925001,4.95419631,6.129283017,6.426264755,5.614709844,7.451211112,5.044394119,4.584962501,6.599912842,8.299208018,4.584962501,5.209453366,6.087462841,6.022367813,6.357552005,3.906890596,4.807354922
Sample1157,0,3.807354922,5.169925001,3.906890596,4.700439718,8.888743249,8.154818109,6.169925001,4.459431619,4.321928095,5.087462841,5.754887502,5.857980995,5.64385619,7.531381461,5.044394119,4.857980995,5.321928095,8.451211112,3.906890596,5,4.523561956,6.087462841,6.614709844,3.169925001,4.087462841
Sample1158,0,1,3.584962501,2.321928095,1,11.94946198,12.68189723,3.700439718,1,1,1,9.182394353,1,3,2,1,2,2.584962501,6.754887502,1,1,1,2,4.523561956,1,1
Sample1159,0,4.584962501,4.857980995,4.523561956,4.247927513,6.266786541,6.714245518,6.50779464,5.247927513,5.087462841,4.700439718,5.357552005,5.044394119,5.832890014,9.495855027,5.285402219,5,5.209453366,8.45532722,4.95419631,5.321928095,6.266786541,5.727920455,6.266786541,4.857980995,4.807354922
Sample1160,0,2.584962501,7.108524457,3.321928095,1.584962501,10.87036472,11.38909352,4.392317423,1.584962501,1,1,7.044394119,3.807354922,4.64385619,6.044394119,2,2.807354922,6.727920455,7.607330314,3.906890596,2.807354922,2.807354922,3.700439718,4.807354922,1,1
Sample1161,0,3.584962501,6.807354922,3.906890596,3,8.900866808,10.033423,6,4.700439718,4,2.807354922,6.672425342,4.807354922,5.672425342,5.087462841,4.754887502,5.087462841,5.169925001,7.348728154,4.087462841,5.554588852,5.614709844,5,5.977279923,3.584962501,3.700439718
Sample1162,0,4.247927513,6.882643049,4.584962501,5.321928095,6.820178962,7.54689446,6.614709844,5.044394119,6.06608919,5.426264755,5,5.169925001,6.584962501,8.071462363,5.129283017,5.357552005,5.459431619,6.95419631,5.882643049,6.977279923,5.906890596,5.523561956,6.209453366,5,5.672425342
Sample1163,0,2,2.807354922,3.321928095,1.584962501,9.936637939,10.31061278,4.459431619,2,2,2.321928095,5.977279923,2,5,8.903881846,2.321928095,3.807354922,10.12799432,6.988684687,3,3,4,4.523561956,4.392317423,1.584962501,1
Sample1164,0,4.321928095,5.247927513,4.584962501,5.044394119,4.584962501,4.906890596,5.64385619,5.247927513,5.087462841,5.169925001,4.906890596,5.614709844,5.807354922,10.56700537,5.044394119,5.209453366,5.584962501,7.483815777,4.169925001,5.357552005,5.754887502,6.06608919,8.22881869,4.169925001,5.087462841
Sample1165,0,3.807354922,4.247927513,4.700439718,4.64385619,5.129283017,5.754887502,6.087462841,5.426264755,5.426264755,5.129283017,5.087462841,6.044394119,5.584962501,9.499845887,5.754887502,4.95419631,5.426264755,7.839203788,4.700439718,4.807354922,5.95419631,6.14974712,9.25502857,5.392317423,4.807354922
Sample1166,0,1,3.321928095,2,1,9.856425529,13.07380685,3.321928095,1,1,1,7.451211112,1,3.459431619,8.622051819,1,1.584962501,2.807354922,5.906890596,1,1,1,2,2.807354922,1,1
Sample1167,0,2.584962501,2.807354922,3.906890596,2,9.977279923,10.05120894,4.807354922,2,2.321928095,3,7.055282436,3.169925001,5,9.079484784,3.459431619,3.584962501,9.28771238,7.189824559,3.906890596,3.700439718,5,4.95419631,4.087462841,1,1
Sample1168,0,3.169925001,5.169925001,4.523561956,4.459431619,6.357552005,7.577428828,6.584962501,4.087462841,4,4.247927513,6.442943496,5.321928095,5.169925001,10.60084211,5.321928095,4.807354922,5.321928095,7.761551232,4.584962501,4.523561956,5.64385619,5.584962501,4.584962501,5.044394119,3.700439718
Sample1169,0,2.807354922,4.754887502,4.584962501,1.584962501,9.172427509,10.70735913,4.906890596,3.321928095,2,1,7.77478706,2.807354922,4.857980995,9.079484784,3,3.700439718,6.988684687,7.924812504,2.584962501,4.584962501,3.700439718,3.906890596,3.807354922,1,1
Sample1170,0,2.321928095,5.727920455,4.459431619,3.700439718,10.04028972,8.290018847,5.426264755,4.392317423,3.700439718,3.459431619,5.247927513,4.857980995,5.930737338,8.159871337,4.459431619,5.930737338,6.569855608,8.321928095,6.700439718,4.392317423,4.754887502,5.285402219,4.459431619,2,1.584962501
Sample1171,0,3.321928095,2.807354922,2.807354922,1,11.47116713,12.2647358,3,1,1,1,8.936637939,1,4.392317423,5.087462841,1,2,9.87036472,7.483815777,1.584962501,1.584962501,1,2.584962501,2,1,1
Sample1172,0,5.392317423,5,4,4.64385619,8.50779464,6.768184325,6.700439718,5.087462841,4.807354922,5.523561956,5.357552005,5.129283017,5.357552005,8.535275377,5.087462841,4.906890596,5.882643049,7.599912842,4.64385619,5.857980995,5.807354922,5.832890014,8.144658243,4.392317423,4.169925001
Sample1173,0,6.807354922,5.807354922,4.754887502,5.087462841,7.022367813,7.22881869,6.727920455,5.087462841,5.491853096,5.321928095,5.672425342,5.95419631,5.64385619,9.116343961,5.321928095,5.357552005,4.95419631,7.247927513,3.459431619,5.700439718,5.491853096,5.857980995,6.988684687,5.426264755,4.321928095
Sample1174,0,6.658211483,5.523561956,4.169925001,3.169925001,9.463524373,8.027905997,5.64385619,3.906890596,4.64385619,3.700439718,6.599912842,4.857980995,5.357552005,9.28077077,4.700439718,4.247927513,5.357552005,7.321928095,6.584962501,5.459431619,4.321928095,5.044394119,5.584962501,2.584962501,4
Sample1175,0,7.392317423,6.857980995,4.584962501,4.169925001,8.781359714,8.596189756,5.754887502,4.321928095,4.321928095,4.754887502,5.554588852,4.459431619,5.523561956,6.50779464,4.64385619,5.285402219,4.95419631,7.483815777,4.169925001,5.247927513,5.129283017,5.807354922,8.022367813,4.321928095,4.247927513
Sample1176,0,5.700439718,4.754887502,4.807354922,5.672425342,4.087462841,5.044394119,6.714245518,5.426264755,5.392317423,4.754887502,4.857980995,4.906890596,5.727920455,8.438791853,6.357552005,5.321928095,6.700439718,8.836050355,5.129283017,5.700439718,6.832890014,5.044394119,7.982993575,5.209453366,5
Sample1177,0,4.584962501,5.977279923,4.754887502,6.169925001,5.247927513,7.139551352,6.87036472,5.807354922,6.339850003,5,5.044394119,6.087462841,6.169925001,3.807354922,6.266786541,6.686500527,6.108524457,8.252665432,4.857980995,6.209453366,6.845490051,6.189824559,6.266786541,6.700439718,6.266786541
Sample1178,0,4.247927513,5.209453366,5,5.247927513,7.839203788,8.011227255,6.906890596,4.64385619,4.321928095,5.169925001,6.22881869,4.754887502,6.285402219,7.700439718,5.554588852,5.169925001,5.614709844,7.781359714,4.906890596,5.754887502,5.727920455,5.614709844,7.686500527,3.906890596,4.807354922
Sample1179,0,1.584962501,3.169925001,3.807354922,2,9.523561956,10.27612441,6.06608919,2,2.321928095,2,7.357552005,2,4.321928095,9.041659152,3.459431619,3.807354922,9.211888295,8.912889336,2.807354922,2.584962501,3.321928095,5.426264755,5.044394119,1,1
Sample1180,0,2.807354922,5.807354922,4.247927513,2.584962501,9.060695932,9.364134655,5.169925001,3.169925001,3.169925001,2.584962501,5.930737338,3,5.129283017,10.03479896,4.64385619,4.700439718,5.727920455,7.257387843,3.584962501,4.523561956,4.906890596,5.930737338,5.700439718,2,2
Sample1181,0,6.614709844,6.523561956,4.392317423,4.584962501,7.434628228,8.434628228,5.554588852,4.754887502,4.523561956,3.906890596,5.459431619,4.321928095,5.426264755,9.301496195,5.247927513,5.129283017,6.14974712,8.754887502,3.807354922,4.754887502,5.64385619,6.022367813,4.906890596,5.882643049,4.906890596
Sample1182,0,4.584962501,6.14974712,4.700439718,4.459431619,6.714245518,7.451211112,6.554588852,5.491853096,5.426264755,5.426264755,5.832890014,5.129283017,5.087462841,8.317412614,5.672425342,5.672425342,5.285402219,7.845490051,4.754887502,5.209453366,6.108524457,6.087462841,8.243173983,5.357552005,5.523561956
Sample1183,0,3.700439718,5,4.906890596,5.392317423,7.761551232,6.321928095,6.247927513,5.357552005,5.044394119,5.285402219,6.06608919,5.95419631,6.22881869,8.647458426,5.857980995,5.554588852,5.584962501,7.199672345,4.392317423,5.321928095,5.807354922,5.95419631,6,4.857980995,4.754887502
Sample1184,0,3,3.584962501,4.321928095,4.087462841,9.321928095,5.169925001,6.523561956,4,4.087462841,4.169925001,4.754887502,3.906890596,5,9.647458426,4.64385619,4.807354922,5.832890014,9.052568051,5.523561956,5,5.426264755,6.209453366,5.614709844,5.584962501,2.807354922
Sample1185,0,1.584962501,6.442943496,9.705632387,4.321928095,10.52160044,7.994353437,4.906890596,2,1.584962501,2.584962501,9.52160044,3,6.022367813,7.21916852,2.807354922,3.321928095,9.076815597,9.958552715,3,4,3.584962501,3.906890596,3,1,1
Sample1186,0,3,4.64385619,5.672425342,4.392317423,8.339850003,7.864186145,6.247927513,5.129283017,4.584962501,4.087462841,5.857980995,4.906890596,5.700439718,9.982993575,4.523561956,4.700439718,5.129283017,7.409390936,5.392317423,4.906890596,4.700439718,5.392317423,6.426264755,4.584962501,3.906890596
Sample1187,0,10.09011242,3,3.807354922,3,7.17990909,9.645658432,5.392317423,3.169925001,3.169925001,3,7.714245518,3.321928095,5.700439718,5.700439718,3.700439718,3.807354922,5.129283017,7.392317423,3.700439718,3.321928095,3.807354922,4.584962501,4.247927513,8.344295908,1
Sample1188,0,2.321928095,3.700439718,3.321928095,1.584962501,9.567956075,10.2737956,5.491853096,2.807354922,2,2.321928095,9.09011242,3.459431619,5.209453366,9.192292814,3.321928095,3.700439718,5.64385619,7.539158811,2,3.584962501,3.169925001,4.247927513,7.475733431,1,1
Sample1189,0,1.584962501,4,3,1.584962501,9.552669098,11.11699368,4.584962501,2.321928095,1.584962501,1.584962501,8.607330314,2.807354922,3.807354922,9.603626345,2.321928095,3.321928095,6.754887502,8.430452552,6.894817763,2,1.584962501,4.459431619,4,1,1
Sample1190,0,4.459431619,6.599912842,4.459431619,5.169925001,7.400879436,5.882643049,6.022367813,5.64385619,4.459431619,4.700439718,4.64385619,6.539158811,6.807354922,8.459431619,5.285402219,4.95419631,6.87036472,8.988684687,4.087462841,5.357552005,5.554588852,6,4.95419631,4.95419631,3.169925001
Sample1191,0,2,3.700439718,3.321928095,3,10.44708323,9.876516947,5.169925001,2.321928095,2.807354922,2.807354922,6.044394119,3.321928095,4.906890596,7.189824559,3.584962501,4.169925001,7.087462841,9.071462363,3.584962501,5.044394119,4,5.247927513,5.491853096,1.584962501,1
Sample1192,0,4.807354922,4.169925001,4,2.584962501,9.328674927,10.48784003,5.491853096,3.906890596,4.169925001,3.321928095,6.554588852,3.459431619,5.491853096,6.62935662,4,4.392317423,4.321928095,6.614709844,3.169925001,4.087462841,4.754887502,4.584962501,5.247927513,3.321928095,2
Sample1193,0,4.754887502,4.857980995,4.906890596,5.392317423,6.672425342,6.491853096,6.781359714,5.357552005,5.392317423,5.672425342,5.357552005,5.523561956,5.64385619,8.071462363,5.700439718,5.209453366,5.459431619,8.055282436,5.129283017,5.129283017,6.727920455,5.882643049,8.845490051,4.807354922,4.321928095
Sample1194,0,2,4.95419631,3.807354922,1.584962501,10.3553511,10.85720347,4.459431619,1.584962501,2.807354922,2.321928095,8.6794801,3.584962501,4.857980995,6.22881869,2.584962501,3.169925001,8.400879436,7.826548487,2.321928095,2.807354922,3,4.321928095,3,3.906890596,1
Sample1195,0,4.584962501,6.539158811,4.584962501,5.169925001,7.330916878,6.882643049,5.700439718,5.584962501,6,5.614709844,5.672425342,5.807354922,5.523561956,3.584962501,5.857980995,5.554588852,5.95419631,7.499845887,4.807354922,5.392317423,6.569855608,5.044394119,8.487840034,6.022367813,6.375039431
Sample1196,0,1,3.906890596,2.807354922,2,11.11504365,8.724513853,4.247927513,1,3.169925001,1.584962501,10.10328781,2.584962501,5.087462841,1,1.584962501,3,11.17617315,7.294620749,2.321928095,2.321928095,2,2.807354922,2,1,1
Sample1197,0,5,4.584962501,4.754887502,5.781359714,7.14974712,5.426264755,6.409390936,5.247927513,5.584962501,5.169925001,4.807354922,5.247927513,5.64385619,8.851749041,5.285402219,5.392317423,5.491853096,7.851749041,4,5.129283017,6.044394119,6.044394119,7.339850003,5,4.906890596
Sample1198,0,5.459431619,4.523561956,4.754887502,4.321928095,9.905387005,6.169925001,5.882643049,5.087462841,4.459431619,4.392317423,6.599912842,5.554588852,5.64385619,4.247927513,4.857980995,4.807354922,7.64385619,7.129283017,4.754887502,4.857980995,6.108524457,5.700439718,7.451211112,5.857980995,3
Sample1199,0,4.247927513,4.64385619,9.413627929,4.584962501,8.731319031,9.076815597,6.87036472,4.584962501,4.95419631,4.64385619,6.906890596,5.285402219,5.169925001,2.807354922,4.857980995,4.754887502,5.044394119,7.129283017,4.906890596,4.459431619,5.857980995,5.169925001,6.442943496,4.087462841,4.584962501
Sample1200,0,1.584962501,4.584962501,2.807354922,1.584962501,11.15797845,11.62205182,4.807354922,1.584962501,1.584962501,1,8.247927513,2.807354922,3.906890596,1,2,2.807354922,5.285402219,6.882643049,2.321928095,2.321928095,3.169925001,3,4.169925001,1,1
Sample1201,0,4.392317423,5.169925001,4.95419631,5.95419631,7.129283017,7.129283017,6.658211483,5.044394119,5.129283017,6.22881869,5.554588852,6.321928095,5.754887502,6.942514505,5.977279923,5.426264755,5.857980995,7.768184325,5.044394119,5.727920455,6.321928095,6.189824559,5.491853096,5.700439718,6.044394119
Sample1202,0,1.584962501,2.321928095,4.087462841,1,10.70390357,10.73386272,4.754887502,1,2,1,8.696967526,2.584962501,4.95419631,5.209453366,2.321928095,2.807354922,11.12992693,8.087462841,2.321928095,2.584962501,3,3.906890596,2.321928095,1,1
Sample1203,0,7.459431619,4.754887502,5.247927513,5.882643049,5.700439718,6.129283017,6.189824559,5.426264755,5.357552005,5.285402219,5.807354922,6.339850003,6.06608919,7.209453366,5.832890014,5.044394119,5.930737338,7.942514505,5.754887502,6.108524457,6.614709844,5.754887502,7.451211112,5.857980995,5.95419631
Sample1204,0,5.087462841,4.321928095,4.321928095,3.169925001,9.447083226,10.25148241,5.672425342,2.807354922,4.64385619,4,8.071462363,4,4.95419631,1.584962501,4.321928095,4.64385619,6.375039431,8.87958325,3.584962501,4.321928095,3.700439718,4.392317423,5,2.321928095,3
Sample1205,0,4.169925001,7.321928095,4.95419631,5.357552005,6.64385619,4.754887502,6.599912842,5.95419631,5.209453366,5.727920455,5.321928095,5.754887502,6.658211483,8.233619677,5.129283017,5.209453366,6.169925001,6.475733431,5.906890596,5.672425342,6.714245518,5.614709844,8.243173983,4.64385619,6.108524457
Sample1206,0,4.392317423,5.727920455,4.64385619,4.95419631,5.64385619,5.977279923,6.754887502,5.672425342,5.857980995,5.392317423,5.044394119,5.357552005,5.857980995,9.25502857,5,5.044394119,6,7.169925001,5,5.491853096,7.129283017,6.14974712,6.491853096,5.554588852,5.807354922
Sample1207,0,2.807354922,5.977279923,4.169925001,3,8.857980995,8.584962501,4.906890596,3,3,3.807354922,5.727920455,4.169925001,5.087462841,10.11374217,4.087462841,4.087462841,6.22881869,8.804131021,3.700439718,4.169925001,4.459431619,6.686500527,5.523561956,1.584962501,2.807354922
Sample1208,0,3.459431619,5.044394119,4.700439718,5.044394119,8.761551232,7.857980995,7.276124405,4.169925001,4.857980995,3.321928095,5.392317423,5.129283017,5.64385619,7.442943496,5.700439718,4.64385619,7.515699838,7.820178962,5.807354922,5.087462841,5.700439718,6.672425342,5.95419631,3.700439718,4.459431619
Sample1209,0,3.169925001,4.523561956,4.95419631,3.906890596,8.523561956,8.22881869,6.189824559,4.459431619,4.321928095,4.087462841,4.754887502,5.459431619,5.672425342,9.21916852,4.754887502,4.523561956,6.523561956,8.523561956,4.087462841,4.392317423,5.523561956,5.906890596,4.95419631,3.169925001,3.169925001
Sample1210,0,9.469641817,3.807354922,3.321928095,1,10.59712143,11.8587581,5.554588852,1,2.321928095,1,7.285402219,1.584962501,4.169925001,3.321928095,2.584962501,2.584962501,2.807354922,6.714245518,1.584962501,1.584962501,2.584962501,4.459431619,6.554588852,1,1
Sample1211,0,4.584962501,6.06608919,5,4.392317423,8.689997971,8.717676423,5.882643049,4.459431619,3.906890596,4.459431619,6.459431619,4.584962501,5.523561956,8.233619677,5.129283017,4.857980995,4.700439718,8.417852515,4.392317423,5.491853096,5.700439718,5.95419631,5.700439718,2,4.087462841
Sample1212,0,2.584962501,5.285402219,4.087462841,2,10.17617315,9.177419538,6.06608919,3.807354922,2.321928095,3.321928095,5.321928095,3.700439718,5,8.584962501,3.807354922,3.700439718,4.247927513,6.754887502,2.321928095,4,4.459431619,5.321928095,9.154818109,4.523561956,1
Sample1213,0,8.339850003,4.247927513,4.584962501,3.169925001,8.159871337,10.51175265,5.882643049,4,5.392317423,3.169925001,7.539158811,4.64385619,5.285402219,2,5,5,4.64385619,7.434628228,4.087462841,4.700439718,5.754887502,4.95419631,4.700439718,3.459431619,3.169925001
Sample1214,0,3.584962501,7.247927513,4.906890596,5.64385619,7.491853096,7.409390936,5.781359714,4.584962501,5.754887502,5.95419631,6.392317423,5.672425342,5.857980995,7.285402219,5.169925001,5.357552005,5.882643049,8.011227255,6.930737338,5.321928095,5.491853096,6.321928095,4.807354922,7.17990909,4.754887502
Sample1215,0,2.807354922,4.95419631,4.392317423,4.459431619,8.204571144,7.64385619,5.882643049,4.857980995,3.700439718,4.754887502,6.209453366,5.392317423,5.357552005,9.247927513,5.491853096,5,5.523561956,8.139551352,4.321928095,5,5.523561956,5.044394119,6.247927513,4.700439718,5.209453366
